date,price,p_code
2021-08-21,,AW_A00033
2021-08-21,,AW_A00034
2021-08-21,,AW_A00021
2021-08-21,,AW_A00022
2021-08-21,,AW_A00008
2021-08-21,,AW_A00009
2021-08-16,,AW_A00115
2021-08-16,,AW_A00116
2021-08-16,,AW_A00152
2021-08-16,,AW_A00153
2021-08-16,,AW_A00198
2021-08-16,,AW_A00200
2021-08-16,,AW_A00091
2021-08-16,,AW_A00092
2021-08-16,,AW_A00033
2021-08-16,,AW_A00034
2021-08-16,,AW_A00021
2021-08-16,,AW_A00022
2021-08-16,,AW_A00008
2021-08-16,,AW_A00009
2021-08-14,,AW_A00115
2021-08-14,,AW_A00116
2021-08-14,,AW_A00152
2021-08-14,,AW_A00153
2021-08-14,,AW_A00198
2021-08-14,,AW_A00200
2021-08-14,,AW_A00091
2021-08-14,,AW_A00092
2021-08-14,,AW_A00033
2021-08-14,,AW_A00034
2021-08-14,,AW_A00021
2021-08-14,,AW_A00022
2021-08-14,,AW_A00008
2021-08-14,,AW_A00009
2021-08-07,,AW_A00115
2021-08-07,,AW_A00116
2021-08-07,,AW_A00152
2021-08-07,,AW_A00153
2021-08-07,,AW_A00198
2021-08-07,,AW_A00200
2021-08-07,,AW_A00091
2021-08-07,,AW_A00092
2021-08-07,,AW_A00033
2021-08-07,,AW_A00034
2021-08-07,,AW_A00021
2021-08-07,,AW_A00022
2021-08-07,,AW_A00008
2021-08-07,,AW_A00009
2021-07-31,,AW_A00115
2021-07-31,,AW_A00116
2021-07-31,,AW_A00152
2021-07-31,,AW_A00153
2021-07-31,,AW_A00198
2021-07-31,,AW_A00200
2021-07-31,,AW_A00091
2021-07-31,,AW_A00092
2021-07-31,,AW_A00033
2021-07-31,,AW_A00034
2021-07-31,,AW_A00021
2021-07-31,,AW_A00022
2021-07-31,,AW_A00008
2021-07-31,,AW_A00009
2021-07-24,,AW_A00115
2021-07-24,,AW_A00116
2021-07-24,,AW_A00152
2021-07-24,,AW_A00153
2021-07-24,,AW_A00198
