,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
304,쌀,111,일반계(20kg),01,상품,04,20kg,2022-05-28,-
305,쌀,111,일반계(20kg),01,중품,05,20kg,2022-05-28,-
306,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-05-28,-
307,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-05-28,-
308,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-05-28,-
309,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-05-28,-
310,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-05-28,-
311,녹두,143,국산(40kg),00,상품,04,40kg,2022-05-28,-
312,녹두,143,수입(40kg),01,중품,05,40kg,2022-05-28,-
313,고구마,151,밤(10kg),00,상품,04,10kg,2022-05-28,-
314,고구마,151,밤(10kg),00,중품,05,10kg,2022-05-28,-
315,감자,152,수미(20kg),01,상품,04,20kg,2022-05-28,-
316,감자,152,수미(20kg),01,중품,05,20kg,2022-05-28,-
317,쌀,111,일반계(20kg),01,상품,04,20kg,2022-05-27,"44,700"
318,쌀,111,일반계(20kg),01,중품,05,20kg,2022-05-27,"42,000"
319,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-05-27,"96,800"
320,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-05-27,"240,000"
321,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-05-27,"123,000"
322,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-05-27,"360,000"
323,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-05-27,"266,000"
324,녹두,143,국산(40kg),00,상품,04,40kg,2022-05-27,"736,000"
325,녹두,143,수입(40kg),01,중품,05,40kg,2022-05-27,"216,000"
326,고구마,151,밤(10kg),00,상품,04,10kg,2022-05-27,"32,000"
327,고구마,151,밤(10kg),00,중품,05,10kg,2022-05-27,"26,000"
328,감자,152,수미(20kg),01,상품,04,20kg,2022-05-27,"40,600"
329,감자,152,수미(20kg),01,중품,05,20kg,2022-05-27,"36,600"
330,쌀,111,일반계(20kg),01,상품,04,20kg,2022-05-26,"44,700"
331,쌀,111,일반계(20kg),01,중품,05,20kg,2022-05-26,"42,000"
332,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-05-26,"96,800"
333,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-05-26,"240,000"
334,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-05-26,"123,000"
335,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-05-26,"360,000"
336,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-05-26,"266,000"
337,녹두,143,국산(40kg),00,상품,04,40kg,2022-05-26,"736,000"
338,녹두,143,수입(40kg),01,중품,05,40kg,2022-05-26,"216,000"
339,고구마,151,밤(10kg),00,상품,04,10kg,2022-05-26,"32,000"
340,고구마,151,밤(10kg),00,중품,05,10kg,2022-05-26,"26,000"
